Symbol,Date,Close,Volume
btc,2013-04-28 08:00:00,135.3,0
btc,2013-04-29 08:00:00,141.96,0.0
btc,2013-04-30 08:00:00,135.3,0.0
btc,2013-05-01 08:00:00,117.0,0.0
btc,2013-05-02 08:00:00,103.43,0.0
btc,2013-05-03 08:00:00,91.01,0.0
btc,2013-05-04 08:00:00,111.25,0.0
btc,2013-05-05 08:00:00,116.79,0.0
btc,2013-05-06 08:00:00,118.33,0.0
btc,2013-05-07 08:00:00,106.4,0.0
btc,2013-05-08 08:00:00,112.64,0.0
btc,2013-05-09 08:00:00,113.0,0.0
btc,2013-05-10 08:00:00,118.78,0.0
btc,2013-05-11 08:00:00,113.01,0.0
btc,2013-05-12 08:00:00,114.713,0.0
btc,2013-05-13 08:00:00,117.18,0.0
btc,2013-05-14 08:00:00,114.5,0.0
btc,2013-05-15 08:00:00,114.156,0.0
btc,2013-05-16 08:00:00,115.5,0.0
btc,2013-05-17 08:00:00,123.1,0.0
btc,2013-05-18 08:00:00,123.88,0.0
btc,2013-05-19 08:00:00,120.501,0.0
btc,2013-05-20 08:00:00,122.58,0.0
btc,2013-05-21 08:00:00,122.9,0.0
btc,2013-05-22 08:00:00,123.0,0.0
btc,2013-05-23 08:00:00,125.748,0.0
btc,2013-05-24 08:00:00,131.7,0.0
btc,2013-05-25 08:00:00,130.77,0.0
btc,2013-05-26 08:00:00,134.6,0.0
btc,2013-05-27 08:00:00,128.985,0.0
btc,2013-05-28 08:00:00,129.179,0.0
btc,2013-05-29 08:00:00,132.13,0.0
btc,2013-05-30 08:00:00,127.401,0.0
btc,2013-05-31 08:00:00,127.98,0.0
btc,2013-06-01 08:00:00,129.09,0.0
btc,2013-06-02 08:00:00,121.3,0.0
btc,2013-06-03 08:00:00,121.16,0.0
btc,2013-06-05 08:00:00,121.309,0.0
btc,2013-06-06 08:00:00,121.714,0.0
btc,2013-06-07 08:00:00,119.0,0.0
btc,2013-06-08 08:00:00,110.09,0.0
btc,2013-06-09 08:00:00,108.401,0.0
btc,2013-06-10 08:00:00,99.7497,0.0
btc,2013-06-11 08:00:00,105.99,0.0
btc,2013-06-12 08:00:00,108.9,0.0
btc,2013-06-13 08:00:00,108.4,0.0
btc,2013-06-14 08:00:00,102.769,0.0
btc,2013-06-15 08:00:00,98.399,0.0
btc,2013-06-16 08:00:00,99.99,0.0
btc,2013-06-17 08:00:00,100.42,0.0
btc,2013-06-18 08:00:00,102.0,0.0
btc,2013-06-19 08:00:00,106.55,0.0
btc,2013-06-20 08:00:00,107.9,0.0
btc,2013-06-21 08:00:00,110.91,0.0
btc,2013-06-22 08:00:00,109.015,0.0
btc,2013-06-23 08:00:00,107.25,0.0
btc,2013-06-24 08:00:00,108.0,0.0
btc,2013-06-25 08:00:00,102.443,0.0
btc,2013-06-26 08:00:00,103.691,0.0
btc,2013-06-27 08:00:00,103.39,0.0
btc,2013-06-28 08:00:00,99.66,0.0
btc,2013-06-29 08:00:00,93.3311,0.0
btc,2013-06-30 08:00:00,95.3886,0.0
btc,2013-07-01 08:00:00,97.504,0.0
btc,2013-07-02 08:00:00,89.489,0.0
btc,2013-07-03 08:00:00,90.797,0.0
btc,2013-07-04 08:00:00,78.8,0.0
btc,2013-07-05 08:00:00,78.48,0.0
btc,2013-07-06 08:00:00,67.809,0.0
btc,2013-07-07 08:00:00,68.0831,0.0
btc,2013-07-08 08:00:00,77.502,0.0
btc,2013-07-09 08:00:00,76.3915,0.0
btc,2013-07-10 08:00:00,77.0,0.0
btc,2013-07-11 08:00:00,85.75,0.0
btc,2013-07-12 08:00:00,93.804,0.0
btc,2013-07-13 08:00:00,88.0622,0.0
btc,2013-07-14 08:00:00,95.58,0.0
btc,2013-07-15 08:00:00,94.0,0.0
btc,2013-07-16 08:00:00,97.301,0.0
btc,2013-07-17 08:00:00,98.9796,0.0
btc,2013-07-18 08:00:00,97.8,0.0
btc,2013-07-19 08:00:00,88.7869,0.0
btc,2013-07-20 08:00:00,91.572,0.0
btc,2013-07-21 08:00:00,89.28,0.0
btc,2013-07-22 08:00:00,90.3672,0.0
btc,2013-07-23 08:00:00,91.7024,0.0
btc,2013-07-24 08:00:00,94.5806,0.0
btc,2013-07-25 08:00:00,94.525,0.0
btc,2013-07-26 08:00:00,96.9499,0.0
btc,2013-07-27 08:00:00,94.13,0.0
btc,2013-07-28 08:00:00,94.005,0.0
btc,2013-07-29 08:00:00,98.5759,0.0
btc,2013-07-30 08:00:00,101.5,0.0
btc,2013-07-31 08:00:00,110.34,0.0
btc,2013-08-01 08:00:00,106.23,0.0
btc,2013-08-02 08:00:00,101.61,0.0
btc,2013-08-03 08:00:00,103.7,0.0
btc,2013-08-04 08:00:00,104.86,0.0
btc,2013-08-05 08:00:00,106.56,0.0
btc,2013-08-06 08:00:00,105.841,0.0
btc,2013-08-07 08:00:00,106.75,0
